Artist,Popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,no_albums
Destroyer,30.11111111111111,0.07096555555555556,0.6466666666666667,0.5577777777777777,0.11380111111111109,0.14758888888888888,0.036255555555555555,114.78188888888887,0.448,1
Dream Theater,24.295454545454547,0.14212800500000003,0.3524772727272727,0.7492272727272726,0.1474822465909091,0.47900000000000004,0.10185454545454542,121.65018181818185,0.2627659090909092,3
Elder,28.333333333333332,0.006873483333333334,0.1955,0.7695,0.6453333333333334,0.18018333333333333,0.051,106.62600000000002,0.21591666666666667,1
Eva Sæhter,1.0,0.9940000000000001,0.179,0.0681,0.9440000000000001,0.083,0.0387,78.949,0.0757,1
Father John Misty,46.869565217391305,0.5343826086956522,0.448608695652174,0.4060217391304349,0.000638428695652174,0.14280000000000004,0.03427391304347826,126.14991304347825,0.3204565217391305,2
Fleet Foxes,40.26470588235294,0.4889117647058824,0.44011764705882345,0.43913529411764707,0.13916708823529414,0.18286470588235293,0.032664705882352936,117.95085294117649,0.2640470588235294,3
Fleetwood Mac,59.90909090909091,0.28550000000000003,0.6465454545454545,0.5912,0.04849985454545455,0.1194090909090909,0.043745454545454546,130.80372727272726,0.7104545454545454,1
Foals,30.352941176470587,0.1062189117647059,0.5313529411764707,0.7816764705882353,0.4181958529411764,0.1801529411764706,0.04997647058823529,133.28111764705886,0.4570382352941176,3
Forth Wanderers,33.7,0.08351597999999999,0.4024,0.7127,0.22582201699999999,0.18019,0.04142,134.8517,0.30179999999999996,1
Frank Ocean,41.7,0.6245500000000002,0.5185000000000002,0.4188739999999999,0.055536755800000004,0.23556799999999994,0.17309400000000003,110.6059,0.430724,2
Fredrik Sjölin,1.3333333333333333,0.9176666666666667,0.23366666666666666,0.059566666666666664,0.39000000000000007,0.14733333333333334,0.04516666666666667,123.229,0.060733333333333334,1
Gjermund Haugen,9.0,0.9159999999999999,0.18899999999999997,0.0947,0.271,0.135,0.0381,80.628,0.131,1
Glass Animals,25.1,0.27107000000000003,0.6538,0.5475,0.03732033,0.18902,0.09531000000000002,113.11840000000002,0.5711,1
Godspeed You! Black Emperor,37.25,0.36925,0.16225,0.50075,0.69425,0.20965,0.058075,120.652,0.045200000000000004,1
Heaven In Her Arms,12.142857142857142,0.2150736285714286,0.29457142857142854,0.7316285714285714,0.6291428571428571,0.2158142857142857,0.17398571428571427,135.20514285714285,0.0574,1
Hop Along,42.888888888888886,0.26839999999999997,0.5787777777777777,0.6177777777777778,1.8942222222222228e-05,0.21184444444444445,0.03231111111111111,115.88811111111113,0.6292222222222221,1
IDLES,41.76923076923077,0.06161085384615384,0.38615384615384607,0.8544615384615384,0.05875235538461539,0.2836923076923077,0.08106153846153846,130.11023076923075,0.33953846153846157,1
Iceage,38.8,0.038061740000000004,0.2426,0.8581000000000001,0.04392116,0.17563,0.07001,118.23170000000002,0.34181999999999996,1
Iglooghost,27.727272727272727,0.07222272727272726,0.5167272727272727,0.7887272727272727,0.23631863636363637,0.35131818181818186,0.12222727272727273,139.31172727272727,0.4847272727272726,1
Interpol,36.642857142857146,0.07076851071428572,0.33215,0.7964285714285715,0.6322292857142857,0.17908214285714283,0.03867142857142857,121.70100000000001,0.3594892857142857,1
Iron Maiden,49.0,0.0013702375,0.357,0.9665000000000001,0.130036875,0.25275000000000003,0.0746375,120.004,0.415,1
James Blake,31.842105263157894,0.8250000000000002,0.5200526315789474,0.2385805263157895,0.2650326831578948,0.13178421052631578,0.09598947368421054,118.22668421052633,0.21305789473684209,1
John Mayer,52.77272727272727,0.35528136363636365,0.4537272727272727,0.5994090909090909,0.024341536363636364,0.8447727272727271,0.05438181818181818,114.46927272727272,0.4387272727272728,1
José González,42.27272727272727,0.9252727272727274,0.5963636363636364,0.1926727272727273,0.6309545454545457,0.10852727272727275,0.04061818181818182,111.57309090909092,0.2126818181818182,1
KIDS SEE GHOSTS,73.28571428571429,0.24765285714285712,0.649,0.6221428571428572,0.005799221428571429,0.21357142857142855,0.11887142857142856,120.601,0.37842857142857145,1
Kanye West,48.888888888888886,0.25098537037037033,0.5765555555555556,0.6102592592592593,0.017261632037037036,0.3217703703703703,0.2837666666666666,107.14492592592595,0.5029777777777776,4
Kendrick Lamar,32.926829268292686,0.22487387804878045,0.6017073170731708,0.6537073170731705,0.0025698658536585364,0.3028560975609757,0.2931146341463415,113.00929268292684,0.4267682926829268,3
Khruangbin,16.7,0.11511679999999999,0.6055,0.43689999999999996,0.8432000000000001,0.32894,0.04683,108.62910000000002,0.6574,1
Kurt Vile,37.45454545454545,0.16537727272727273,0.4576363636363637,0.7671818181818183,0.4745281818181818,0.18990909090909092,0.04107272727272727,109.94090909090909,0.4814545454545454,1
LCD Soundsystem,46.0,0.04984462,0.5982,0.6902,0.346077,0.19794,0.047749999999999994,134.1981,0.53145,1
Led Zeppelin,50.75,0.39134399999999997,0.40787500000000004,0.678375,0.184875375,0.2063875,0.04517499999999999,117.714875,0.578125,1
Let's Eat Grandma,44.9,0.329284,0.6105,0.5499,0.19899529,0.1096,0.04082999999999999,113.41489999999999,0.20048000000000005,1
M83,33.95454545454545,0.2587318772727273,0.4002272727272727,0.5700681818181819,0.5621405136363635,0.20340454545454545,0.03933181818181818,117.9531818181818,0.15825454545454545,1
MGMT,56.7,0.185824,0.5814,0.7987999999999998,0.1590721,0.25539999999999996,0.04098,136.3373,0.6413,1
Mac DeMarco,56.542857142857144,0.28902465714285713,0.6110857142857143,0.5620257142857145,0.22084132314285718,0.1738514285714286,0.04808857142857144,117.61314285714286,0.5612857142857142,3
Mac Miller,78.41666666666667,0.6326666666666667,0.6542500000000001,0.4548333333333334,0.013115891666666669,0.10830833333333333,0.18152500000000002,125.33916666666664,0.29465,1
Metallica,49.5,0.0004111249999999999,0.42137500000000006,0.81325,0.508,0.1432625,0.06666249999999999,107.47437500000001,0.422375,1
Mid-Air Thief,24.375,0.57275,0.388625,0.61825,0.24158000000000002,0.31312500000000004,0.05850000000000001,133.16325,0.17482499999999998,1
Modest Mouse,32.31578947368421,0.29176036842105263,0.5016315789473684,0.5907894736842106,0.19345347368421048,0.20566842105263158,0.047410526315789465,113.87815789473684,0.4747368421052631,1
Muse,50.3235294117647,0.2102365629411765,0.3493058823529412,0.6840117647058823,0.19401265882352944,0.18570882352941176,0.05399999999999999,126.60705882352943,0.27589411764705885,3
My Chemical Romance,54.172413793103445,0.13649917241379314,0.4395862068965518,0.8214827586206898,0.0420946148275862,0.23262068965517244,0.10863103448275861,135.5182068965517,0.40582758620689663,2
MØL,26.875,0.00031973750000000007,0.32575,0.923375,0.8717499999999999,0.186275,0.06987499999999999,104.862,0.1691,1
Neutral Milk Hotel,6.818181818181818,0.27892,0.27554545454545454,0.649,0.27483477636363635,0.23109090909090907,0.05600000000000001,113.72118181818182,0.20986363636363636,1
New Order,46.75,0.04654675,0.61575,0.8202500000000001,0.39382874999999995,0.1025,0.0371125,128.269,0.8263750000000001,1
Oxbow,21.5,0.006419124999999999,0.34237500000000004,0.69325,0.19664500000000001,0.17073750000000004,0.0444875,132.407375,0.19850000000000004,1
Panopticon,20.625,0.07848004999999998,0.2071375,0.8488749999999999,0.8307500000000001,0.3325,0.0902125,131.6425,0.151125,1
Parquet Courts,51.0,0.12412307692307692,0.5437692307692308,0.8325384615384614,0.10729794615384615,0.28896153846153855,0.0812,131.043,0.7473076923076923,1
Periphery,33.75609756097561,0.013521183902439025,0.39734146341463417,0.9250243902439027,0.06335330146341463,0.22350487804878055,0.13373170731707315,124.80860975609757,0.21408048780487807,4
Pinegrove,46.25,0.395605,0.36599999999999994,0.59725,0.00115147125,0.268125,0.054150000000000004,120.63199999999999,0.31212500000000004,1
Post Malone,81.94444444444444,0.34249444444444443,0.6478333333333333,0.6337222222222223,0.02567451777777778,0.14961111111111114,0.07870555555555554,136.38444444444443,0.3452222222222222,1
Radiohead,53.71212121212121,0.3509054469696969,0.3771969696969697,0.5428787878787882,0.3885765757575758,0.1720318181818182,0.04568939393939394,121.8437727272727,0.2875075757575757,5
Red Hot Chili Peppers,53.84615384615385,0.12170992307692306,0.5343076923076923,0.7874615384615384,0.005483900769230768,0.17397307692307692,0.09221153846153848,118.57007692307693,0.4983846153846155,1
Rune Tonsgaard Sorensen,4.0,0.97,0.365,0.179,0.8440000000000001,0.0821,0.0373,139.881,0.21100000000000002,1
Sobs,28.0,0.018620875,0.49324999999999997,0.7312500000000001,0.234996,0.22880000000000003,0.041625,145.326375,0.6135,1
Spiritualized,25.583333333333332,0.20705833333333334,0.24393333333333336,0.5672499999999999,0.31248628333333334,0.37935,0.043291666666666666,114.12483333333331,0.16264166666666666,1
Spoon,34.95,0.31300000000000006,0.6384000000000001,0.7241500000000001,0.151596546,0.24197499999999997,0.044805,124.61774999999997,0.65703,2
Sufjan Stevens,28.4,0.9666000000000002,0.43549999999999994,0.15738000000000002,0.170666399,0.13547,0.04093,132.03209999999999,0.30678,1
Sun Kil Moon,35.18181818181818,0.8742727272727273,0.6157272727272728,0.3190909090909091,0.003104977272727273,0.14205454545454543,0.04313636363636363,105.77272727272727,0.5027272727272728,1
Tame Impala,25.833333333333332,0.21192789999999997,0.47536666666666677,0.7573,0.23491993333333333,0.19614,0.05788666666666667,125.48866666666666,0.44899999999999995,3
TesseracT,33.71875,0.07763505625000001,0.41588749999999985,0.72228125,0.1844900346875,0.179753125,0.05111562500000001,128.27234374999998,0.18314375,3
The Beach Boys,26.76923076923077,0.40376923076923077,0.44769230769230767,0.43507692307692303,0.1287965423076923,0.125,0.03453076923076923,111.57292307692305,0.447723076923077,1
The Cure,38.0,0.2417341666666666,0.5144166666666666,0.7323333333333334,0.4476,0.22898333333333334,0.04203333333333333,130.08583333333334,0.41191666666666665,1
The Decemberists,38.0,0.33124545454545457,0.512090909090909,0.5435909090909091,0.0004163090909090909,0.15643636363636365,0.041345454545454546,102.88463636363636,0.4058181818181819,1
The Microphones,35.3,0.5996815,0.3245,0.3913549999999999,0.6021150000000002,0.14325000000000004,0.059434999999999995,104.78475,0.19082500000000002,1
The National,54.666666666666664,0.5170408333333334,0.5397500000000001,0.6961666666666667,0.7673333333333333,0.17555000000000007,0.081475,128.29625000000001,0.3385833333333333,1
The Smashing Pumpkins,46.84615384615385,0.01535543692307692,0.3806923076923076,0.5588461538461539,0.6650769230769231,0.1426769230769231,0.03561538461538461,117.79007692307694,0.22058461538461538,1
The Strokes,52.72727272727273,0.033044090909090905,0.5143636363636364,0.7832727272727272,0.26594601,0.16476363636363636,0.03515454545454546,126.36409090909092,0.692909090909091,1
The Unicorns,33.84615384615385,0.3958153846153846,0.5107692307692309,0.5215384615384614,0.12131060230769229,0.21310769230769228,0.10320000000000001,115.90046153846157,0.4407692307692308,1
The War On Drugs,56.7,0.1748125,0.44799999999999995,0.7253000000000001,0.1327019,0.10918999999999998,0.04273999999999999,120.78959999999998,0.39334,1
The Weeknd,26.886363636363637,0.3669227272727272,0.5410227272727273,0.5617272727272726,0.005827479318181816,0.22660681818181813,0.06815227272727271,119.14186363636362,0.27852954545454556,2
Traditional,1.6,0.9452,0.25809000000000004,0.10255700000000001,0.45587999999999995,0.12971000000000002,0.04512,110.51109999999998,0.20325,1
Travis Scott,84.23529411764706,0.13048588235294117,0.6867647058823527,0.6394117647058825,0.00040479705882352936,0.19024117647058822,0.09473529411764706,135.85358823529415,0.31758235294117654,1
Twista,60.0,0.369,0.569,0.7440000000000001,0.0,0.256,0.18100000000000002,145.063,0.59,1
Vampire Weekend,49.72727272727273,0.281099090909091,0.5834848484848485,0.6451515151515153,0.056506279696969704,0.1669181818181818,0.09506666666666667,142.53312121212122,0.6494545454545453,3
alt-J,51.285714285714285,0.650975,0.5063571428571428,0.41624642857142863,0.2596736785714286,0.1335714285714286,0.05641071428571427,121.45825,0.2382535714285714,2
harunemuri,27.52173913043478,0.1402718347826087,0.5513913043478261,0.7884782608695653,0.12092466260869568,0.2133,0.10987826086956522,116.34569565217392,0.42893043478260884,2
