track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Lull (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,0,47,0.72,0.24,0.03,103,4,0.16,0.62,0.23,0.0
Anoche,Arca,Arca,2017-04-09,0,39,0.57,0.23,0.06,80,5,0.08,0.43,0.12,0.0
DUCKWORTH.,Kendrick Lamar,DAMN.,2017-04-14,0,29,0.05,0.55,0.68,177,4,0.63,0.74,0.27,0.0
Pearly* (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,0,45,0.0,0.32,0.05,117,4,0.32,0.85,0.3,0.3
Castration,Arca,Arca,2017-04-09,0,34,0.0,0.43,0.06,111,3,0.22,0.67,0.16,0.15
LOVE. FEAT. ZACARI.,Kendrick Lamar,DAMN.,2017-04-14,0,43,0.29,0.8,0.1,126,4,0.78,0.58,0.15,0.0
GOD.,Kendrick Lamar,DAMN.,2017-04-14,0,29,0.04,0.71,0.08,132,4,0.24,0.55,0.27,0.0
Conspiracy,Charlie Lim,TIME / SPACE,2017-07-17,0,24,0.38,0.68,0.05,112,4,0.18,0.46,0.11,0.02
FEAR.,Kendrick Lamar,DAMN.,2017-04-14,0,29,0.62,0.59,0.27,149,4,0.46,0.47,0.61,0.0
Desafío,Arca,Arca,2017-04-09,0,43,0.49,0.16,0.05,161,5,0.09,0.48,0.37,0.41
Can't Get It Out,Brand New,Science Fiction,2017-08-23,0,47,0.0,0.56,0.03,97,4,0.26,0.72,0.66,0.0
Whip,Arca,Arca,2017-04-09,0,29,0.09,0.56,0.5,139,4,0.15,0.57,0.34,0.66
Urchin,Arca,Arca,2017-04-09,0,37,0.01,0.18,0.04,88,3,0.05,0.49,0.09,0.89
Man of War,Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,0,55,0.01,0.27,0.03,149,4,0.14,0.47,0.08,0.07
Outro,Charlie Lim,TIME / SPACE,2017-07-17,0,18,0.99,0.38,0.05,69,4,0.19,0.01,0.07,0.94
Saunter,Arca,Arca,2017-04-09,0,37,0.04,0.42,0.29,80,5,0.32,0.61,0.14,0.15
Drawn to the Blood,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,24,0.95,0.39,0.04,124,4,0.06,0.1,0.12,0.22
Miel,Arca,Arca,2017-04-09,0,30,0.93,0.28,0.14,72,5,0.24,0.33,0.11,0.5
Eugene,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,27,0.97,0.57,0.04,170,4,0.69,0.14,0.31,0.49
The Falling Veil,Elder,Reflections of a Floating World,2017-06-08,0,30,0.0,0.14,0.06,91,4,0.16,0.86,0.16,0.53
John My Beloved,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,26,0.96,0.56,0.04,119,3,0.26,0.09,0.09,0.0
Pink Up,Spoon,Hot Thoughts,2017-03-20,0,41,0.78,0.61,0.04,110,4,0.29,0.73,0.14,0.76
Staving off Truth,Elder,Reflections of a Floating World,2017-06-08,0,28,0.0,0.12,0.05,75,4,0.35,0.84,0.07,0.61
Blind,Elder,Reflections of a Floating World,2017-06-08,0,27,0.0,0.2,0.05,137,4,0.22,0.85,0.26,0.55
WhisperI'lllistentohearit,Spoon,Hot Thoughts,2017-03-20,0,49,0.67,0.29,0.06,157,4,0.24,0.71,0.34,0.02
Sonntag,Elder,Reflections of a Floating World,2017-06-08,0,27,0.04,0.41,0.03,136,4,0.1,0.44,0.11,0.79
First Caress,Spoon,Hot Thoughts,2017-03-20,0,42,0.07,0.74,0.03,115,4,0.8,0.94,0.35,0.0
Carrie & Lowell,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,24,0.96,0.4,0.05,198,4,0.26,0.25,0.12,0.52
Thousand Hands,Elder,Reflections of a Floating World,2017-06-08,0,28,0.0,0.1,0.05,77,4,0.36,0.87,0.36,0.68
The Suburbs (Continued),Arcade Fire,The Suburbs,2017-06-28,0,8,0.88,0.41,0.04,117,4,0.04,0.09,0.24,0.42
Death With Dignity,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,41,0.99,0.52,0.04,169,4,0.45,0.15,0.12,0.04
Empty Room,Arcade Fire,The Suburbs,2017-06-28,0,9,0.0,0.32,0.06,161,4,0.49,0.98,0.31,0.85
Child,Arca,Arca,2017-04-09,0,29,0.28,0.22,0.04,168,4,0.1,0.17,0.11,0.09
City With No Children,Arcade Fire,The Suburbs,2017-06-28,0,9,0.16,0.51,0.03,128,4,0.64,0.7,0.1,0.45
Sprawl I (Flatland),Arcade Fire,The Suburbs,2017-06-28,0,7,0.69,0.31,0.03,96,3,0.15,0.34,0.15,0.0
Do I Have to Talk You Into It,Spoon,Hot Thoughts,2017-03-20,0,55,0.11,0.69,0.1,79,4,0.93,0.9,0.17,0.0
Tear It Down,Spoon,Hot Thoughts,2017-03-20,0,41,0.25,0.55,0.03,91,4,0.57,0.73,0.1,0.01
We Used To Wait,Arcade Fire,The Suburbs,2017-06-28,0,15,0.08,0.57,0.03,120,4,0.48,0.64,0.1,0.01
Can I Sit Next to You,Spoon,Hot Thoughts,2017-03-20,0,48,0.28,0.76,0.08,103,4,0.88,0.8,0.03,0.0
Us,Spoon,Hot Thoughts,2017-03-20,0,36,0.97,0.24,0.04,109,4,0.04,0.44,0.12,0.86
Deep Blue,Arcade Fire,The Suburbs,2017-06-28,0,11,0.29,0.54,0.04,120,4,0.54,0.81,0.12,0.18
Month Of May,Arcade Fire,The Suburbs,2017-06-28,0,8,0.04,0.46,0.16,167,4,0.44,1.0,0.39,0.02
Suburban War,Arcade Fire,The Suburbs,2017-06-28,0,11,0.1,0.31,0.04,119,3,0.58,0.85,0.17,0.2
Half Light II (No Celebration),Arcade Fire,The Suburbs,2017-06-28,0,8,0.01,0.41,0.12,113,4,0.39,0.97,0.39,0.71
Shotgun,Spoon,Hot Thoughts,2017-03-20,0,42,0.3,0.77,0.06,130,4,0.83,0.85,0.14,0.01
Sanctuary,Elder,Reflections of a Floating World,2017-06-08,0,35,0.0,0.2,0.05,121,4,0.11,0.75,0.11,0.71
Modern Man,Arcade Fire,The Suburbs,2017-06-28,0,13,0.29,0.68,0.03,122,4,0.6,0.69,0.12,0.02
Rococo,Arcade Fire,The Suburbs,2017-06-28,0,12,0.29,0.32,0.04,166,3,0.46,0.87,0.25,0.3
Ready To Start,Arcade Fire,The Suburbs,2017-06-28,0,21,0.12,0.46,0.03,95,4,0.52,0.93,0.08,0.02
I Promise,Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,0,55,0.39,0.44,0.03,155,3,0.49,0.44,0.1,0.1
Blah Blah Blues,Charlie Lim,TIME / SPACE,2017-07-17,0,31,0.73,0.43,0.04,104,3,0.21,0.39,0.28,0.0
Choices,Charlie Lim,TIME / SPACE,2017-07-17,0,34,0.89,0.62,0.03,142,4,0.2,0.33,0.1,0.25
Prayers Up,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,62,0.43,0.82,0.16,86,4,0.78,0.64,0.21,0.0
I Ain't the One,Spoon,Hot Thoughts,2017-03-20,0,47,0.78,0.62,0.06,129,4,0.33,0.84,0.14,0.54
A Reminder (Remastered),Radiohead,OK Computer OKNOTOK 1997 2017,2017-06-23,0,45,0.5,0.31,0.03,76,3,0.14,0.5,0.23,0.44
All Of Me Wants All Of You,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,26,0.97,0.44,0.04,143,4,0.24,0.29,0.11,0.0
Blue Bucket of Gold,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,24,0.95,0.32,0.03,76,4,0.14,0.15,0.13,0.04
Bitter,Charlie Lim,TIME / SPACE,2017-07-17,0,31,0.6,0.44,0.04,135,4,0.16,0.38,0.09,0.0
Light Breaks In,Charlie Lim,TIME / SPACE,2017-07-17,0,32,0.85,0.62,0.04,116,4,0.24,0.1,0.09,0.0
No Shade in the Shadow of The Cross,Sufjan Stevens,Carrie & Lowell,2017-04-22,0,27,0.95,0.42,0.03,82,4,0.36,0.15,0.13,0.0
Cash Out,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,63,0.15,0.72,0.24,94,4,0.43,0.79,0.03,0.0
Heatstroke,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,62,0.34,0.78,0.05,110,4,0.71,0.73,0.22,0.0
Rollin,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,67,0.45,0.75,0.09,91,4,0.66,0.76,0.18,0.0
Neighborhood #2 (Laika),Arcade Fire,Funeral,2017-07-17,0,50,0.06,0.56,0.04,130,4,0.96,0.88,0.12,0.01
Coraje,Arca,Arca,2017-04-09,0,32,0.94,0.28,0.04,129,3,0.1,0.14,0.11,0.5
Intro,Charlie Lim,TIME / SPACE,2017-07-17,0,19,0.99,0.47,0.1,84,4,0.75,0.6,0.39,0.66
Skrt On Me,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,60,0.17,0.71,0.04,101,4,0.96,0.89,0.17,0.0
Feels,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,80,0.06,0.89,0.06,101,4,0.87,0.74,0.09,0.0
Faking It,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,69,0.32,0.78,0.12,120,4,0.67,0.59,0.07,0.0
Hard to Love,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,63,0.11,0.75,0.17,148,4,0.85,0.78,0.06,0.0
Une Annee Sans Lumiere,Arcade Fire,Funeral,2017-07-17,0,48,0.04,0.44,0.03,105,4,0.58,0.78,0.08,0.58
Holiday,Calvin Harris,Funk Wav Bounces Vol.1,2017-07-07,0,60,0.47,0.84,0.08,103,4,0.58,0.77,0.08,0.0
Wasted Hours,Arcade Fire,The Suburbs,2017-06-28,0,7,0.45,0.63,0.04,114,4,0.12,0.5,0.08,0.05
Half Light I,Arcade Fire,The Suburbs,2017-06-28,0,8,0.0,0.43,0.03,93,4,0.29,0.68,0.32,0.33
I Only Tell The Truth,Charlie Lim,TIME / SPACE,2017-07-17,0,29,0.76,0.55,0.04,69,4,0.06,0.3,0.13,0.21
She's Only 18,Red Hot Chili Peppers,Stadium Arcadium,2016-03-14,0,57,0.06,0.57,0.08,141,4,0.51,0.71,0.33,0.0
Second Sun,Bonobo,Migration,2017-02-01,0,60,0.96,0.38,0.03,77,4,0.06,0.18,0.11,0.8
Prisoner,The Weeknd,Beauty Behind The Madness,2015-08-28,0,33,0.4,0.54,0.04,134,4,0.33,0.41,0.2,0.0
The Game of Love,Daft Punk,Random Access Memories,2015-10-11,0,59,0.82,0.71,0.03,90,4,0.68,0.5,0.11,0.31
Within,Daft Punk,Random Access Memories,2015-10-11,0,59,0.89,0.7,0.03,110,4,0.07,0.3,0.1,0.48
Instant Crush,Daft Punk,Random Access Memories,2015-10-11,0,75,0.04,0.78,0.03,109,4,0.52,0.58,0.08,0.62
Touch,Daft Punk,Random Access Memories,2015-10-11,0,59,0.48,0.29,0.05,90,4,0.12,0.41,0.08,0.08
Get Lucky,Daft Punk,Random Access Memories,2015-10-11,0,72,0.04,0.81,0.04,116,4,0.86,0.79,0.07,0.0
Motherboard,Daft Punk,Random Access Memories,2015-10-11,0,55,0.51,0.55,0.04,103,4,0.28,0.71,0.1,0.92
Fragments of Time,Daft Punk,Random Access Memories,2015-10-11,0,59,0.04,0.81,0.04,130,4,0.96,0.51,0.1,0.12
Doin' it Right,Daft Punk,Random Access Memories,2015-10-11,0,66,0.39,0.8,0.09,178,4,0.19,0.45,0.09,0.0
Shameless,The Weeknd,Beauty Behind The Madness,2015-08-28,0,33,0.12,0.6,0.03,100,4,0.25,0.56,0.11,0.0
Real Life,The Weeknd,Beauty Behind The Madness,2015-08-28,0,29,0.43,0.58,0.05,90,4,0.31,0.64,0.36,0.0
Acquainted,The Weeknd,Beauty Behind The Madness,2015-08-28,0,35,0.46,0.38,0.06,105,4,0.24,0.48,0.08,0.0
In The Night,The Weeknd,Beauty Behind The Madness,2015-08-28,0,37,0.07,0.48,0.13,167,3,0.51,0.68,0.05,0.0
Losers,The Weeknd,Beauty Behind The Madness,2015-08-28,0,30,0.04,0.66,0.05,90,4,0.33,0.49,0.57,0.0
Dark Times,The Weeknd,Beauty Behind The Madness,2015-08-28,0,35,0.11,0.58,0.07,132,3,0.24,0.42,0.14,0.0
Angel,The Weeknd,Beauty Behind The Madness,2015-08-28,0,30,0.1,0.63,0.04,127,4,0.33,0.58,0.13,0.0
Erised,Periphery,Periphery II,2016-01-09,0,33,0.0,0.5,0.08,95,4,0.28,0.9,0.23,0.0
As You Are,The Weeknd,Beauty Behind The Madness,2015-08-28,0,29,0.14,0.35,0.05,173,4,0.06,0.33,0.27,0.01
Space Dementia,Muse,Origin Of Symmetry,2015-06-06,0,49,0.02,0.17,0.05,170,4,0.08,0.72,0.21,0.0
Bliss,Muse,Origin Of Symmetry,2015-06-06,0,58,0.0,0.45,0.05,127,4,0.25,0.8,0.11,0.0
Hyper Music,Muse,Origin Of Symmetry,2015-06-06,0,48,0.0,0.27,0.09,121,4,0.4,0.91,0.13,0.0
Plug In Baby,Muse,Origin Of Symmetry,2015-06-06,0,65,0.0,0.41,0.05,136,4,0.35,0.96,0.11,0.0
Citizen Erased,Muse,Origin Of Symmetry,2015-06-06,0,50,0.01,0.12,0.04,84,4,0.09,0.67,0.31,0.01
Micro Cuts,Muse,Origin Of Symmetry,2015-06-06,0,47,0.0,0.31,0.04,160,4,0.18,0.8,0.07,0.76
Futurism,Muse,Origin Of Symmetry,2015-06-06,0,45,0.0,0.33,0.09,158,4,0.17,0.97,0.09,0.0
Darkshines,Muse,Origin Of Symmetry,2015-06-06,0,46,0.0,0.52,0.03,109,4,0.5,0.76,0.08,0.71
Megalomania,Muse,Origin Of Symmetry,2015-06-06,0,45,0.03,0.19,0.03,145,4,0.09,0.3,0.32,0.82
Interlude,Muse,Absolution,2015-06-06,0,47,0.21,0.16,0.04,73,4,0.26,0.2,0.13,0.79
Intro,Muse,Absolution,2015-06-06,0,8,0.92,0.83,0.1,78,4,0.0,0.07,0.38,0.23
Apocalypse Please,Muse,Absolution,2015-06-06,0,52,0.1,0.15,0.04,160,4,0.18,0.88,0.25,0.01
Sing For Absolution,Muse,Absolution,2015-06-06,0,56,0.46,0.44,0.03,170,4,0.19,0.68,0.09,0.04
Give Life Back to Music,Daft Punk,Random Access Memories,2015-10-11,0,64,0.0,0.79,0.03,119,4,0.7,0.62,0.1,0.55
Of Reality - Eclipse,TesseracT,Altered State,2015-11-29,0,37,0.0,0.35,0.07,120,3,0.41,0.96,0.5,0.01
Of Energy - Embers,TesseracT,Altered State,2015-11-29,0,35,0.02,0.23,0.04,108,3,0.04,0.53,0.14,0.0
Of Energy - Singularity,TesseracT,Altered State,2015-11-29,0,37,0.0,0.29,0.11,145,3,0.24,0.9,0.44,0.02
Cages,TesseracT,Polaris,2015-12-28,0,31,0.03,0.47,0.05,160,4,0.16,0.71,0.1,0.7
Dystopia,TesseracT,Polaris,2015-12-28,0,40,0.01,0.44,0.04,119,4,0.1,0.63,0.12,0.09
Utopia,TesseracT,Polaris,2015-12-28,0,32,0.02,0.38,0.08,92,3,0.07,0.81,0.11,0.0
Phoenix,TesseracT,Polaris,2015-12-28,0,32,0.0,0.45,0.04,138,3,0.17,0.83,0.09,0.0
Messenger,TesseracT,Polaris,2015-12-28,0,32,0.0,0.49,0.06,90,3,0.25,0.9,0.25,0.0
Reprise,Periphery,Juggernaut: Omega,2015-12-28,0,29,0.54,0.6,0.03,107,4,0.27,0.69,0.38,0.0
Priestess,Periphery,Juggernaut: Omega,2015-12-28,0,33,0.0,0.2,0.11,171,4,0.4,0.91,0.19,0.0
Graveless,Periphery,Juggernaut: Omega,2015-12-28,0,31,0.0,0.45,0.19,100,4,0.07,0.97,0.37,0.0
Hell Below,Periphery,Juggernaut: Omega,2015-12-28,0,29,0.0,0.53,0.06,101,4,0.08,0.94,0.23,0.0
Stranger Things,Periphery,Juggernaut: Omega,2015-12-28,0,41,0.0,0.44,0.13,135,4,0.15,0.94,0.11,0.01
The Scourge,Periphery,Juggernaut: Alpha,2015-12-26,0,33,0.0,0.19,0.15,148,4,0.08,0.95,0.36,0.0
MK Ultra,Periphery,Juggernaut: Alpha,2015-12-26,0,33,0.0,0.45,0.2,100,3,0.22,0.96,0.18,0.01
Heavy Heart,Periphery,Juggernaut: Alpha,2015-12-26,0,36,0.0,0.45,0.14,155,3,0.32,0.94,0.33,0.0
The Event,Periphery,Juggernaut: Alpha,2015-12-26,0,30,0.0,0.36,0.03,125,4,0.07,0.56,0.2,0.96
Psychosphere,Periphery,Juggernaut: Alpha,2015-12-26,0,32,0.0,0.45,0.11,112,4,0.28,0.93,0.11,0.0
Rainbow Gravity,Periphery,Juggernaut: Alpha,2015-12-26,0,34,0.0,0.53,0.13,124,4,0.51,0.95,0.05,0.0
Four Lights,Periphery,Juggernaut: Alpha,2015-12-26,0,32,0.0,0.44,0.05,90,3,0.3,0.93,0.34,0.79
Alpha,Periphery,Juggernaut: Alpha,2015-12-26,0,43,0.0,0.37,0.2,164,1,0.27,0.97,0.23,0.0
22 Faces,Periphery,Juggernaut: Alpha,2015-12-26,0,38,0.0,0.48,0.14,133,4,0.37,0.96,0.32,0.0
In The Presence Of Enemies Pt. 2,Dream Theater,Systematic Chaos,2015-12-05,0,37,0.01,0.3,0.08,137,4,0.12,0.91,0.16,0.01
In The Presence Of Enemies Pt. 1,Dream Theater,Systematic Chaos,2015-12-05,0,42,0.0,0.26,0.08,172,3,0.24,0.91,0.31,0.11
Of Mind - Nocturne,TesseracT,Altered State,2015-11-29,0,51,0.0,0.57,0.06,130,3,0.44,0.92,0.05,0.0
Blackbird,Alter Bridge,Blackbird,2015-11-29,0,55,0.0,0.28,0.04,149,3,0.13,0.81,0.12,0.01
Of Matter - Proxy,TesseracT,Altered State,2015-11-29,0,45,0.0,0.51,0.07,117,3,0.11,0.81,0.45,0.25
Of Matter - Retrospect,TesseracT,Altered State,2015-11-29,0,43,0.02,0.31,0.05,119,4,0.14,0.74,0.16,0.03
Of Matter - Resist,TesseracT,Altered State,2015-11-29,0,41,0.08,0.09,0.05,77,4,0.04,0.61,0.09,0.0
Of Mind - Exile,TesseracT,Altered State,2015-11-29,0,40,0.0,0.51,0.05,89,4,0.34,0.89,0.12,0.0
Of Reality - Palingenesis,TesseracT,Altered State,2015-11-29,0,36,0.0,0.46,0.06,194,3,0.79,0.86,0.16,0.0
Of Reality - Calabi-Yau,TesseracT,Altered State,2015-11-29,0,38,0.01,0.41,0.05,125,3,0.03,0.82,0.27,0.0
Screenager,Muse,Origin Of Symmetry,2015-06-06,0,44,0.74,0.38,0.03,80,4,0.21,0.4,0.18,0.55
Falling Away With You,Muse,Absolution,2015-06-06,0,51,0.34,0.3,0.04,95,4,0.27,0.68,0.09,0.2
Thoughts Of A Dying Atheist,Muse,Absolution,2015-06-06,0,51,0.0,0.26,0.06,178,4,0.42,0.95,0.27,0.09
Blood - Hidden Track,My Chemical Romance,The Black Parade,2015-01-22,0,51,0.97,0.74,0.11,123,4,0.83,0.4,0.07,0.0
Beyond This Life [Live At Budokan],Dream Theater,Live At Budokan,2014-12-15,0,28,0.0,0.3,0.12,100,4,0.34,0.9,0.87,0.19
Home [Scene Six] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.0,0.2,0.15,87,4,0.18,0.94,0.13,0.0
As I Am - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,30,0.0,0.27,0.08,133,4,0.15,0.9,0.65,0.0
Finally Free [Scene Nine] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.07,0.32,0.14,165,4,0.23,0.73,0.77,0.0
The Spirit Carries On [Scene Eight] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.2,0.46,0.03,126,3,0.3,0.55,0.12,0.0
One Last Time (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.04,0.37,0.04,107,4,0.22,0.84,0.11,0.0
The Dance Of Eternity [Scene Seven] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.01,0.34,0.09,122,4,0.55,0.93,0.58,0.85
Through My Words [Scene Three] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.8,0.58,0.03,108,4,0.22,0.15,0.11,0.0
Through Her Eyes [Scene Five] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.66,0.62,0.03,114,4,0.15,0.35,0.58,0.0
Beyond This Life [Scene Four] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.0,0.27,0.11,100,4,0.2,0.9,0.39,0.01
Fatal Tragedy (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.01,0.43,0.17,139,4,0.2,0.95,0.22,0.01
Strange Deja Vu (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.02,0.29,0.09,111,4,0.47,0.88,0.1,0.0
Regression [Scene One] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.64,0.57,0.37,111,3,0.46,0.17,0.21,0.0
This Dying Soul - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,29,0.0,0.24,0.26,154,4,0.24,0.94,0.94,0.06
Keyboard Solo - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,21,0.66,0.37,0.06,103,4,0.32,0.86,0.89,0.29
Overture 1928 [Scene Two] (2009 Remastered Album Version),Dream Theater,Metropolis Part 2: Scenes From A Memory,2014-12-15,0,0,0.01,0.43,0.08,111,4,0.28,0.81,0.3,0.9
War Inside My Head - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,26,0.0,0.24,0.15,138,4,0.18,0.93,0.53,0.2
Pull Me Under - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,26,0.0,0.38,0.09,103,4,0.22,0.93,0.95,0.07
Disappear [Live At Budokan],Dream Theater,Live At Budokan,2014-12-15,0,23,0.19,0.3,0.03,122,5,0.08,0.43,0.93,0.0
Solitary Shell - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,24,0.0,0.36,0.05,108,3,0.45,0.85,0.68,0.0
Goodnight Kiss - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,23,0.0,0.26,0.03,135,3,0.09,0.46,0.35,0.0
Only A Matter Of Time - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,24,0.0,0.26,0.16,136,4,0.22,0.95,0.97,0.0
Stream Of Consciousness - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,28,0.0,0.28,0.08,132,3,0.21,0.83,0.91,0.9
New Millennium - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,24,0.0,0.28,0.09,138,4,0.29,0.88,0.43,0.01
Trial Of Tears - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,26,0.0,0.28,0.04,125,4,0.13,0.7,0.71,0.22
Instrumedley - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,34,0.0,0.3,0.12,133,4,0.35,0.9,0.52,0.8
Endless Sacrifice - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,27,0.0,0.27,0.13,100,4,0.13,0.91,0.98,0.04
The Test That Stumped Them All - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,25,0.0,0.25,0.12,171,3,0.38,0.94,0.96,0.0
Hollow Years - Live At Budokan,Dream Theater,Live At Budokan,2014-12-15,0,34,0.0,0.31,0.04,75,4,0.08,0.59,0.15,0.0
Mama,My Chemical Romance,The Black Parade,2015-01-22,0,64,0.01,0.24,0.09,208,4,0.3,0.8,0.09,0.0
Disenchanted,My Chemical Romance,The Black Parade,2015-01-22,0,60,0.0,0.34,0.04,174,4,0.15,0.69,0.11,0.0
Assassin,Muse,Black Holes And Revelations,2015-06-06,0,56,0.0,0.35,0.14,124,4,0.42,0.96,0.11,0.0
Teenagers,My Chemical Romance,The Black Parade,2015-01-22,0,76,0.05,0.46,0.06,111,4,0.86,0.86,0.18,0.0
Map Of The Problematique,Muse,Black Holes And Revelations,2015-06-06,0,59,0.0,0.49,0.04,125,4,0.7,0.96,0.25,0.12
The Small Print,Muse,Absolution,2015-06-06,0,52,0.0,0.25,0.08,161,4,0.51,0.96,0.3,0.0
Butterflies and Hurricanes,Muse,Absolution,2015-06-06,0,58,0.31,0.42,0.05,115,4,0.04,0.69,0.11,0.04
Ruled By Secrecy,Muse,Absolution,2015-06-06,0,48,0.8,0.4,0.03,148,3,0.04,0.23,0.13,0.84
Fury,Muse,Absolution,2015-06-06,0,49,0.0,0.09,0.04,163,4,0.15,0.69,0.17,0.01
Take a Bow,Muse,Black Holes And Revelations,2015-06-06,0,52,0.16,0.24,0.05,130,3,0.18,0.71,0.71,0.0
Supermassive Black Hole,Muse,Black Holes And Revelations,2015-06-06,0,73,0.05,0.67,0.04,120,4,0.78,0.92,0.09,0.01
Endlessly,Muse,Absolution,2015-06-06,0,55,0.81,0.66,0.04,110,4,0.63,0.47,0.05,0.26
Soldier's Poem,Muse,Black Holes And Revelations,2015-06-06,0,50,0.88,0.53,0.03,104,3,0.48,0.41,0.36,0.0
Blackout,Muse,Absolution,2015-06-06,0,55,0.43,0.17,0.04,116,3,0.06,0.28,0.13,0.41
Exo-Politics,Muse,Black Holes And Revelations,2015-06-06,0,51,0.0,0.6,0.07,123,4,0.61,0.93,0.09,0.0
City Of Delusion,Muse,Black Holes And Revelations,2015-06-06,0,51,0.0,0.28,0.07,119,4,0.31,0.92,0.14,0.03
Hoodoo,Muse,Black Holes And Revelations,2015-06-06,0,48,0.54,0.25,0.03,136,4,0.12,0.22,0.11,0.32
Glorious,Muse,Black Holes And Revelations,2015-06-06,0,54,0.02,0.4,0.1,100,4,0.08,0.98,0.34,0.02
Invincible,Muse,Black Holes And Revelations,2015-06-06,0,53,0.02,0.23,0.04,92,4,0.19,0.81,0.18,0.03
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,"good kid, m.A.A.d city",2015-04-23,0,46,0.12,0.72,0.4,74,4,0.26,0.48,0.6,0.0
These Walls,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,26,0.11,0.75,0.14,108,4,0.37,0.49,0.2,0.0
"Bitch, Don’t Kill My Vibe - International Remix / Explicit Version",Kendrick Lamar,"good kid, m.A.A.d city",2015-04-23,0,32,0.01,0.67,0.08,134,4,0.1,0.81,0.5,0.0
"Bitch, Don’t Kill My Vibe - Remix",Kendrick Lamar,"good kid, m.A.A.d city",2015-04-23,0,40,0.05,0.62,0.25,133,4,0.14,0.78,0.2,0.0
Momma,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,20,0.25,0.62,0.32,111,5,0.52,0.74,0.66,0.0
Hood Politics,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,22,0.14,0.73,0.38,87,4,0.37,0.66,0.12,0.0
For Sale? - Interlude,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,18,0.44,0.3,0.08,79,3,0.28,0.69,0.12,0.0
The Blacker The Berry,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,24,0.01,0.55,0.3,176,4,0.27,0.85,0.46,0.0
How Much A Dollar Cost,Kendrick Lamar,To Pimp A Butterfly,2015-04-23,0,22,0.42,0.62,0.2,87,4,0.33,0.73,0.14,0.0
