track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Now Found Is The Fairest Of Roses (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,0,0.97,0.12,0.05,95,3,0.04,0.0,0.18,0.03
Naja's Waltz,Fredrik Sjölin,Last Leaf,2017-12-12,1,1,0.93,0.15,0.05,91,4,0.11,0.08,0.12,0.02
Unst Boat Song (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.92,0.07,0.05,77,4,0.03,0.04,0.12,0.1
Fastän (Arr. For String Quartet),Eva Sæhter,Last Leaf,2017-12-12,1,1,0.99,0.18,0.04,78,4,0.08,0.07,0.08,0.94
Don't Talk (Put Your Head On My Shoulder) - Remastered,The Beach Boys,Pet Sounds (40th Anniversary / Stereo Mix),2018-09-16,1,28,0.29,0.21,0.04,104,3,0.07,0.14,0.08,0.01
Hur var du i aftes så sildig (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.91,0.45,0.04,121,4,0.31,0.04,0.09,0.13
Someday,The Strokes,Is This It,2016-10-07,1,64,0.0,0.54,0.03,105,4,0.67,0.53,0.34,0.0
The Dromer (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.94,0.33,0.04,133,4,0.52,0.32,0.19,0.76
You Still Believe In Me - Remastered,The Beach Boys,Pet Sounds (40th Anniversary / Stereo Mix),2018-09-16,1,29,0.3,0.44,0.03,88,4,0.28,0.25,0.12,0.0
Can't Tell Me Nothing,Kanye West,Graduation (UK Version),2018-03-23,1,65,0.01,0.6,0.04,80,4,0.1,0.62,0.82,0.0
Mama's Gun,Glass Animals,How To Be A Human Being,2016-09-26,1,18,0.69,0.45,0.03,90,4,0.23,0.32,0.12,0.0
THUG LIFE,BROCKHAMPTON,iridescence,2018-09-20,1,74,0.27,0.58,0.09,159,4,0.37,0.74,0.09,0.0
Life Itself,Glass Animals,How To Be A Human Being,2016-09-26,1,30,0.02,0.73,0.03,111,4,0.59,0.68,0.35,0.14
Headless Horseman,The Microphones,"The Glow, Pt. 2",2018-02-13,1,44,0.96,0.6,0.07,100,4,0.07,0.17,0.1,0.09
Youth,Glass Animals,How To Be A Human Being,2016-09-26,1,32,0.1,0.64,0.03,96,4,0.74,0.73,0.11,0.0
Protector 수호자,Mid-Air Thief,Crumbling 무너지기,2018-09-16,1,27,0.56,0.38,0.03,154,3,0.23,0.56,0.38,0.12
Dirt 흙,Mid-Air Thief,Crumbling 무너지기,2018-09-16,1,26,0.55,0.39,0.03,149,3,0.08,0.49,0.1,0.46
My Roots Are Strong and Deep,The Microphones,"The Glow, Pt. 2",2018-02-13,1,37,0.82,0.28,0.03,101,5,0.35,0.31,0.11,0.94
Pork Soda,Glass Animals,How To Be A Human Being,2016-09-26,1,24,0.12,0.7,0.09,96,4,0.62,0.67,0.36,0.0
Cane Shuga,Glass Animals,How To Be A Human Being,2016-09-26,1,21,0.54,0.78,0.04,136,4,0.8,0.8,0.11,0.2
No Answer 무소식,Mid-Air Thief,Crumbling 무너지기,2018-09-16,1,25,0.75,0.48,0.03,126,4,0.13,0.55,0.66,0.23
The Other Side Of Paradise,Glass Animals,How To Be A Human Being,2016-09-26,1,27,0.34,0.69,0.06,127,4,0.64,0.33,0.07,0.0
Taste,Animal Collective,Merriweather Post Pavilion,2018-02-14,1,29,0.0,0.45,0.07,80,4,0.34,0.87,0.05,0.0
Guys Eyes,Animal Collective,Merriweather Post Pavilion,2018-02-14,1,29,0.0,0.29,0.16,174,3,0.67,0.82,0.25,0.0
A Lack Of Color,Death Cab for Cutie,Transatlanticism,2018-09-17,1,54,0.81,0.64,0.03,135,4,0.36,0.34,0.11,0.0
We Looked Like Giants,Death Cab for Cutie,Transatlanticism,2018-09-17,1,48,0.13,0.23,0.03,87,4,0.35,0.8,0.11,0.13
Æ Rømeser (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.98,0.16,0.04,165,4,0.14,0.05,0.09,0.7
Two Headed Boy,Neutral Milk Hotel,In The Aeroplane Over The Sea,2018-02-11,1,6,0.71,0.35,0.03,145,4,0.29,0.61,0.14,0.0
BERLIN,BROCKHAMPTON,iridescence,2018-09-20,1,73,0.05,0.72,0.22,142,4,0.64,0.62,0.31,0.0
SOMETHING ABOUT HIM,BROCKHAMPTON,iridescence,2018-09-20,1,72,0.58,0.7,0.18,79,4,0.62,0.64,0.14,0.0
WHERE THE CASH AT,BROCKHAMPTON,iridescence,2018-09-20,1,72,0.01,0.86,0.38,156,4,0.17,0.52,0.13,0.0
Hummer - Surkin remix,Foals,Antidotes,2016-11-28,1,0,0.17,0.77,0.09,124,4,0.59,0.92,0.12,0.95
HONEY,BROCKHAMPTON,iridescence,2018-09-20,1,73,0.07,0.74,0.05,109,4,0.22,0.78,0.41,0.0
VIVID,BROCKHAMPTON,iridescence,2018-09-20,1,71,0.19,0.66,0.23,80,4,0.24,0.64,0.29,0.0
TEETH,BROCKHAMPTON,SATURATION II,2017-08-25,1,57,0.8,0.43,0.11,79,4,0.5,0.55,0.08,0.0
